date,date,ML,Low_75,High_75,cases,smoothed,fcst,prd_ets,s,i,r
2020-05-05,2020-05-05,,,,,,1.0,0.8663998223074602,18734.93487850643,197.07373407131755,1050.9913874222586
2020-05-06,2020-05-06,,,,,,1.0,0.8537616251757416,18727.697133153044,190.2347841338944,1065.068082713067
2020-05-07,2020-05-07,,,,,,1.0,0.8414772715286577,18720.87422442672,183.4694939935103,1078.6562815797738
2020-05-08,2020-05-08,,,,,,1.0,0.8295368544775665,18714.448212957017,176.79054160653376,1091.761245436453
2020-05-09,2020-05-09,,,,,,1.0,0.8179307445062995,18708.401437737084,170.20942099742965,1104.3891412654912
2020-05-10,2020-05-10,,,,,,1.0,0.8066495817053041,18702.71656212696,163.7364808220237,1116.5469570510218
2020-05-11,2020-05-11,,,,,,1.0,0.795684268223213,18697.376613885925,157.38096614720075,1128.2424199668806
2020-05-12,2020-05-12,,,,,,1.0,0.7850259609297562,18692.365019600926,151.15106285025817,1139.4839175488235
2020-05-13,2020-05-13,,,,,,1.0,0.7746660642840931,18687.665633877292,145.05394408458778,1150.2804220381277
2020-05-14,2020-05-14,,,,,,1.0,0.7645962234028203,18683.2627636543,139.09581830153894,1160.6414180441695
2020-05-15,2020-05-15,,,,,,1.0,0.7548083173220582,18679.141188002017,133.28197836085704,1170.5768336371366
2020-05-16,2020-05-16,,,,,,1.0,0.7452944524481864,18675.286173747703,127.61685130367974,1180.0969749486264
2020-05-17,2020-05-17,,,,,,1.0,0.7360469561919446,18671.683487270104,122.10404840244368,1189.2124643274608
2020-05-18,2020-05-18,,,,,,1.0,0.7270583707807665,18668.319402788526,116.74641514098928,1197.9341820704924
2020-05-19,2020-05-19,,,,,,1.0,0.7183214472443542,18665.180707461113,111.54608081547485,1206.2732117234202
2020-05-20,2020-05-20,,,,,,1.0,0.7098291395686449,18662.254703593197,106.50450748228513,1214.2407889245255
2020-05-21,2020-05-21,,,,,,1.0,0.7015745990134548,18659.52920824248,101.62253801284072,1221.8482537446887
