date,date,ML,Low_75,High_75,cases,smoothed,fcst,prd_ets,s,i,r
2020-04-22,2020-04-22,0.89,0.78,0.99,5526.0,5283.0,0.0,0.676748913683067,283796.68132947455,5690.148897546496,16019.169772979112
2020-04-23,2020-04-23,1.11,0.99,1.2,6214.0,5387.0,0.0,0.9373900211512544,283532.6461769575,5547.744843095916,16425.60897994672
2020-04-24,2020-04-24,,,,,,1.0,1.1689485738707937,283180.2962320717,5503.82729918916,16821.876468739283
2020-04-25,2020-04-25,,,,,,1.0,1.2161214224739714,282744.46364245366,5546.529367436578,17215.006990109938
2020-04-26,2020-04-26,,,,,,1.0,1.2538597023899987,282604.12938953715,5290.682951250489,17611.18765921255
2020-04-27,2020-04-27,,,,,,1.0,1.2840503271496082,282480.07081039494,5036.835605303397,17989.093584301874
2020-04-28,2020-04-28,,,,,,1.0,1.3082028276187263,282371.3401431901,4785.7923007008685,18348.86755610926
2020-04-29,2020-04-29,,,,,,1.0,1.3275248285231651,282276.8195194159,4538.4706172821625,18690.70986330218
2020-04-30,2020-04-30,,,,,,1.0,1.3429824296700315,282195.37093256006,4295.7427314749975,19014.88633596519
2020-05-01,2020-05-01,,,,,,1.0,1.3553485109261771,282125.8511086882,4058.4237888129187,19321.72510249912
2020-05-02,2020-05-02,,,,,,1.0,1.3652413762020152,282067.1255358526,3827.2619481618967,19611.61251598576
2020-05-03,2020-05-03,,,,,,1.0,1.3731556686394235,282018.0813417271,3602.930288847272,19884.988369425893
2020-05-04,2020-05-04,,,,,,1.0,1.37948710276274,281977.63881369773,3386.020653387574,20142.340532914983
2020-05-05,2020-05-05,,,,,,1.0,1.3845522502001053,281944.7614069015,3177.039442084686,20384.199151014094
2020-05-06,2020-05-06,,,,,,1.0,1.3886043682609672,281918.4641386898,2976.4053215760814,20611.13053973443
2020-05-07,2020-05-07,,,,,,1.0,1.3918460627984324,281897.82032040943,2784.448759743882,20823.730919847007
2020-05-08,2020-05-08,,,,,,1.0,1.394439418499425,281881.9666271818,2601.413255846954,21022.62011697157
2020-05-09,2020-05-09,,,,,,1.0,1.3965141031170356,281870.1065517384,2427.458098729836,21208.43534953207
2020-05-10,2020-05-10,,,,,,1.0,1.3981738508565773,281861.5123279284,2262.662458344833,21381.825213727057
2020-05-11,2020-05-11,,,,,,1.0,1.3995016490845733,281855.5254422325,2107.030597016068,21543.443960751687
2020-05-12,2020-05-12,,,,,,1.0,1.40056388769606,281851.5561186871,1960.4977350603212,21693.946146252834
2020-05-13,2020-05-13,,,,,,1.0,1.4014136786085212,281849.09488637873,1822.9234148643773,21833.981698757143
2020-05-14,2020-05-14,,,,,,1.0,1.402093511357108,281847.72539890825,1694.084086987426,21964.190514104597
2020-05-15,2020-05-15,,,,,,1.0,1.4026373775708714,281847.1136908337,1573.6897888485887,22085.196520317986
2020-05-16,2020-05-16,,,,,,1.0,1.4030724705537976,281846.99631756125,1461.4007486318108,22197.60293380717
2020-05-17,2020-05-17,,,,,,1.0,1.4034205449496706,281847.16956303274,1356.8417354009175,22301.988701566584
2020-05-18,2020-05-18,,,,,,1.0,1.4036990044739948,281847.47976304457,1259.6142685747313,22398.905968380936
2020-05-19,2020-05-19,,,,,,1.0,1.403921772099555,281847.8147419596,1169.3068419043411,22488.878416136275
2020-05-20,2020-05-20,,,,,,1.0,1.4040999862048833,281848.0963240305,1085.503342554594,22572.400333415157
2020-05-21,2020-05-21,,,,,,1.0,1.4042425574930506,281848.27385537175,1007.7898581736877,22649.93628645477
2020-05-22,2020-05-22,,,,,,1.0,1.4043566145267077,281848.3186566734,935.7600670024532,22721.92127632432
2020-05-23,2020-05-23,,,,,,1.0,1.4044478601561323,281848.2193180917,869.0194007982994,22788.761281110208
2020-05-24,2020-05-24,,,,,,1.0,1.4045208566616711,281847.9777446695,807.1881598777777,22850.834095452945
2020-05-25,2020-05-25,,,,,,1.0,1.4045792538677015,281847.6058616588,749.9037457543029,22908.49039258707
2020-05-26,2020-05-26,,,,,,1.0,1.4046259716338052,281847.12289302546,696.8221611195187,22962.054945855234
2020-05-27,2020-05-27,,,,,,1.0,1.4046633458477116,281846.5531322324,647.6189104040214,23011.82795736377
2020-05-28,2020-05-28,,,,,,1.0,1.4046932452196554,281845.92413135635,601.9894176797711,23058.086450964056
2020-05-29,2020-05-29,,,,,,1.0,1.4047171647178656,281845.2648754433,559.6494294728402,23101.08569508404
2020-05-30,2020-05-30,,,,,,1.0,1.4047363003169577,281844.60075672896,520.3385889391252,23141.060654332097
2020-05-31,2020-05-31,,,,,,1.0,1.4047516087966507,281843.95146653365,483.8208370673552,23178.22769639918
2020-06-01,2020-06-01,,,,,,1.0,1.4047638555807405,281843.3318785227,449.88179385921507,23212.786327618276
2020-06-02,2020-06-02,,,,,,1.0,1.4047736530082806,281842.7528486398,418.3264098950238,23244.920741465365
2020-06-03,2020-06-03,,,,,,1.0,1.4047814909505274,281842.2219012022,388.9768994829647,23274.80119931501
2020-06-04,2020-06-04,,,,,,1.0,1.4047877613044966,281841.7438170588,361.670919377628,23302.585263563793
2020-06-05,2020-06-05,,,,,,1.0,1.4047927775878093,281841.321137336,336.2599620020274,23328.418900662196
2020-06-06,2020-06-06,,,,,,1.0,1.404796790614569,281840.9545943039,312.60793631969915,23352.437469376626
2020-06-07,2020-06-07,,,,,,1.0,1.4048000010360653,281840.64347921836,290.5899130967225,23374.766607685175
2020-06-08,2020-06-08,,,,,,1.0,1.4048025693733321,281840.3859555863,270.0910143647633,23395.523030049226
2020-06-09,2020-06-09,,,,,,1.0,1.4048046240432022,281840.1793251125,251.00542952679461,23414.815245360995
2020-06-10,2020-06-10,,,,,,1.0,1.404806267779143,281840.0202525824,233.2355428050037,23432.744204612907
2020-06-11,2020-06-11,,,,,,1.0,1.404807582767932,281839.9049550859,216.69115867256846,23449.403886241835
2020-06-12,2020-06-12,,,,,,1.0,1.4048086347589919,281839.8293602679,201.28881358536285,23464.88182614702
